CONCEIÇÃO DO MARO DENTRO,-19.8719226,-43.9791057
CONCEIÇÃO DO MATO DENTRO,-19.8719226,-43.9791057
CONCEIÇÃO M DENTRO,-19.8719226,-43.9791057
CONDE DE LINHARES,-19.9401093,-43.9497406
CONDE P CARNEIRO,-19.9288321,-43.9863575
CONDE PEREIRA CARNEIRO,-19.9288321,-43.9863575
CONEXÃO AEROPORTO,-19.8524132,-43.95509
CONFINS,-19.7089501,-43.9783972
CONJUNTO IAPI,-19.9166813,-43.9344931
CONJUNTO SANTA MARIA,-19.9511927,-43.9597077
CONJUNTO SÉRGIO FERRARA,-19.9166813,-43.9344931
CONSELHEIRO LAFAIETE,-19.9018637,-43.9236379
CONTAGEM,-19.9166813,-43.9344931
CONTORNO,-19.9355635,-43.94591399999999
CONTORNO PERRELA,-19.9166813,-43.9344931
CONTORNO PRAÇA DA ESTAÇÃO,-19.9166813,-43.9344931
CORAÇÃO EUCARÍSTICO,-19.9251669,-43.98836319999999
CÓRREGO RESSACA,-19.9133897,-43.9959466
CRISTIANO MACHADO,-19.8582882,-43.9344051
CRISTÓVÃO COLOMBO,-19.9371509,-43.93609559999999
CURITIBA,-19.9239348,-43.94272
CURVA DO PONTEIO,-19.9166813,-43.9344931
CURVELO,-19.9128643,-43.9293683
DE BRITO,-19.8616316,-43.9416141
DEL REY,-19.8905939,-43.9686045
DELTA,-19.8956569,-43.967039
DEP ÚLTIMO DE CARVALHO,-19.8360881,-43.9430258
DEPUTADO ÚLTIMO DE CARVALHO,-19.8360881,-43.9430258
DESEMBARGADOR BARCELOS,-19.9303898,-43.97567069999999
DESEMBARGADOR MATOS,-19.939539,-43.9140731
DESENBARGADOR MATOS,-19.939539,-43.9140731
DOM BOSCO,-19.9135789,-43.998373
DOM JOÃO VI,-19.9644529,-43.9822579
DOM LEME,-19.8865706,-43.9299752
DONA HELENA GRECO,-19.9156285,-43.9535505
EB,-19.8477782,-43.9060236
EDGAR TORRES,-19.8093138,-43.9558937
EFIGÊNIA NATIVIDADE,-19.896233,-43.9937044
ELEVADO CASTELO BRANCO,-19.9156285,-43.9535505
ELEVADO D HELENA GRECO,-19.9156285,-43.9535505
ELEVADO DONA HELENA GRECO,-19.9156285,-43.9535505
ELEV D HELENA GRECO,-19.9156285,-43.9535505
ELEV DONA HELENA GRECO,-19.9156285,-43.9535505
ENGENHEIRO CARLOS GOULART,-19.9729876,-43.9606263
ENG OCELO CIRINO,-19.9606155,-43.9633231
EPA,-19.9166813,-43.9344931
E SANTO,-19.9474643,-43.9725805
ESPERIDIÃO ROSA,-19.8713514,-43.9568304
ESPINOSA,-19.9114733,-43.9597225
ESPIRITO SANTO,-19.9267543,-43.9393122
ESPÍRITO SANTO,-19.9267543,-43.9393122
ESP SANTO,-19.9267543,-43.9393122
ESTAÇÃO,-19.5540287,-44.0887383
ESTAÇÃO CALAFATE,-19.9178273,-43.9564751
ESTAÇÃO DIAMANTE,-19.9945408,-44.0242797
ESTAÇÃO DO METRO DA GAMELEIRA,-19.9319092,-43.9877209
ESTAÇÃO DO METRÔ DA GAMELEIRA,-19.9319092,-43.9877209
ESTAÇÃO GAMELEIRA,-19.9280593,-43.9882412
ESTAÇÃO SÃO GABRIEL,-19.8632128,-43.9264417
ESTAÇÃO VENDA NOVA,-19.8095213,-43.9696501
EST CALAFATE,-19.8696889,-43.9003649
EST CARLOS PRATES,-19.9083317,-43.9624308
EST FLORAMAR,-19.9198076,-43.8781302
ESTORIL,-19.9651993,-43.9603217
EST SÃO GABRIEL,-19.8632128,-43.9264417
ETNA,-19.9166813,-43.9344931
EUGÊNIO VOLPINI,-19.8262163,-43.9598642
EXÉRCITO,-19.9166813,-43.9344931
EXPOMINAS,-19.9166813,-43.9344931
EZEQUIEL DIAS,-19.9245182,-43.9318354
FACULDADE ANHANGUERA,-19.9166813,-43.9344931
FACULDADE DE MEDICINA,-19.9166813,-43.9344931
FAMINAS,-19.9166813,-43.9344931
FEIRA DO PRODUTORES,-19.8912042,-43.9283701
FEIRA DOS PRODUTORES,-19.8912042,-43.9283701
FERNANDES TOURINHO,-19.9383909,-43.9397782
FLÁVIO DOS SANTOS,-19.9127763,-43.9251945
FLORAMAR,-19.8363125,-43.934101
FLORESTA,-19.9167038,-43.9293335
FRANCISCO SÁ,-19.9288786,-43.95976719999999
FRANCISCO SALES,-19.922885,-43.9274119
F SALES,-21.2257457,-45.0094463
GEN OLÍMPIO,-19.8318269,-43.9582307
GENOVEVA DE SOUZA,-19.9066926,-43.9223004
GENTIOS,-19.9487885,-43.9533715
GERALDO FARIA DE SOUZA,-19.8992783,-43.9271733
