AFONSO CRUZ,-19.8384075,-44.0026461
AFONSO DE ABREU E SILVA,-19.9090344,-44.0048736
AFONSO DE CARVALHO,-19.8686051,-43.9460259
AFONSO DUARTE CARAPIA,-19.9166813,-43.9344931
AFONSO FERREIRA GOMES,-19.8722489,-43.9974845
AFONSO LOBATO,-19.8396282,-43.9043734
AFONSO PENA,-19.9322263,-43.930588
AFONSO PENA JUNIOR,-19.8909955,-43.9251163
AFONSO PEREIRA DA SILVA,-19.7902165,-43.9820205
AFONSO RASO,-19.8713997,-43.985966
AFONSO RIBEIRO,-19.9754528,-43.9809031
AFONSO RICALDONI,-19.8904569,-43.99528189999999
AFONSO SCHIMIDT,-19.8430668,-43.9196214
AFONSO TAUNAY,-19.9166813,-43.9344931
AFONSO TEIXEIRA DIAS,-19.976974,-44.0250875
AFONSO TORRES,-19.9401686,-43.9254627
AFONSO VAZ DE MELO,-19.976974,-44.0250875
AFONSO VITOR PACHOLA,-19.9166813,-43.9344931
AFONSO XIII,-19.9358064,-43.9594096
AFRANIO CASTANHEIRA FRICHE,-19.8782558,-43.914828
AFRANIO DE CARVALHO SILVEIRA,-19.8914922,-43.9299673
AFRICA,-19.8794977,-44.01800739999999
AGAPANTO,-19.9777739,-44.0524146
AGASSIZ,-19.9166813,-43.9344931
AGATA,-19.8852441,-43.9206996
AGAVE,-19.99117,-44.030834
AGENA,-19.9731723,-43.9482843
AGENERIO ARAUJO,-19.9405892,-44.0118044
AGENOR ALVES,-19.8541868,-43.89548569999999
AGENOR DARIO MERLO,-19.9166813,-43.9344931
AGENOR DE ABREU,-19.8644962,-43.9029925
AGENOR DE PAULA ESTRELA,-19.8017695,-43.9367478
AGENOR GOULART FILHO,-19.8733127,-43.9806937
AGENOR JOSE DOS ANJOS,-19.8753593,-43.943873
AGENOR NONATO DE SOUZA,-19.9166813,-43.9344931
AGEO PIO,-19.9747388,-43.9769452
AGGEO PIO SOBRINHO,-19.9747388,-43.9769452
AGILIO CRUZ DE SOUZA,-19.8793244,-44.0090904
AGILIO MONTEIRO,-19.8619428,-43.9004594
AGILMAR PEREIRA MARINHO,-19.8076934,-43.9280926
AGNELO MACEDO,-19.9767253,-44.0189137
AGNER WILLIAM DA SILVA,-19.8635663,-44.0203052
AGOSTINHO AZZI,-19.8904339,-43.930798
AGOSTINHO BRASELINO DA SILVA,-19.9932706,-44.0381183
AGOSTINHO BRETAS,-19.9012258,-43.9698793
AGOSTINHO FERREIRA,-19.8890186,-43.9618492
AGOSTINHO MARTINI,-19.9053674,-43.9461853
AGOSTINHO PATRUS,-19.9166813,-43.9344931
AGRELOS,-19.8688417,-43.9249898
AGRIPA DE VASCONCELOS,-19.9593681,-43.9173859
AGRIPINO,-19.8384854,-43.9178978
